,comments,sent,score
91,"Randy is enthusiastic &amp; very knowledgeable , love his input !",POSITIVE,0.9998644590377808
92,Dumbert and Dumkirk! Perfect  combo😂,POSITIVE,0.9926623106002808
93,"Brilliant discussion!  <br>I&#39;m expecting the budget car to be on a v2.5 production line (i.e. not fully unboxed v3.0 mfg line) ... but I suspect the CyberCAB will be produced asap on the full unboxed mfg line.  Texas must work out bugs for all other giga locations.<br><br>Oh yeah, I&#39;m praying for a surprise Model 3 RWD, 2-door hatch, sport coupe! 🎉🙏<br><br>Cheers, Eric",NEGATIVE,0.9744368195533752
94,Will the story of John Henry rise from the literary past?,NEGATIVE,0.9675960540771484
95,"So much optimism, need to balance",POSITIVE,0.9946995973587036
96,I saw the notification about this video and got excited went on their site and there was nothing new. It was the same 299 a month.,NEGATIVE,0.9956003427505493
97,My 2020 Model Y lease return went horribly. I will never lease a car that you can’t buy at lease end.,NEGATIVE,0.9996651411056519
98,The prices you’re using don’t include taxes and fees which bump the Model 3 Perf for example up an extra $200/mo from what the site shows and numbers you used.,NEGATIVE,0.9955112934112549
99,"I have been leasing for the last 10 years and 3 of them have been with Tesla. The thing I like about leasing is a new car every 3 years and don’t have to own something that depreciates in value. The miles thing is the worst part but I always do the 15000 a year and seems to work good for me. As far as buying at the end of the lease you can only do that with the models S &amp; X,. I am on my second model 3 so I will not have the option to buy. When I did my credit app online it was instant approval, didn’t have to wait at all. I did Tesla insurance and it’s pretty cheap. I got the new 2024 model 3 performance and had to put down $6000. The first Tesla was a 2021 model three performance and had to put down $5000. My payment actually went down from last time. It’s was $781 for the 2021 and now it’s $741 for the 2024 a month. I have solar on my roof at home that covers all the electricity charges even charging the car. So in my opinion, for me, leasing is an amazing option.",NEGATIVE,0.6828061938285828
100,All things equal. You are paying the depreciation plus associated admin cost of the vehicle in a lease.,POSITIVE,0.9914975762367249
101,"Another downside for leasing a Telsa is when you return the car, they will charge for a wear and tear fee which is from low $3000 to over $5000 USD, that really keeps me away from leasing one.",NEGATIVE,0.991827130317688
102,We are arriving at a point in time when things may change RAPIDLY in the EV sector. FSD robotaxis may become the better choice over buying a vehicle in the next 5-10 years. EVs might become substantially cheaper in the next 2-5 years. Leasing might be a way to ride the wave until the transportation situation sorts itself out and a new norm emerges.,NEGATIVE,0.9887318015098572
103,The thing about leasing a Model Y is that you’re very likely getting stuck with the LG battery since leases aren’t subject to domestic battery sourcing requirements. Would have been nice if Ryan addressed that.,NEGATIVE,0.9981088638305664
104,I leased one car in my life time  when i turned it in  they made me  pay for new tires. They said the ones on were worn  which i highly disagreed. It felt like i lost my car and got nothing in return. I much prefer buying...,NEGATIVE,0.998467743396759
105,"I bought a used 2022 Model 3 for $18,900 after the Federal Rebate, and I own it outright. The lease for the RWD Model 3 might make the most financial sense if you want to drive a brand-new car, but you are limited to 10,000 miles. So, if you drive a lot, you cannot recoup your investment in gas savings. It would be interesting to see how much the trade-in value is after the lease is completed.  <br><br>I figured that the money I invested to purchase my 2022 Model 3 actually is earning about 8% annually in gas savings. This ROI is guaranteed so long as I don&#39;t have an accident or the car breaks down. Since the Model 3 is perhaps the most reliable EV made, I don&#39;t foresee it breaking down. I also calculated that if I drive the car for approximately 18000 - 20,000 miles, it will have paid for itself in gas savings, using $4.00 per gallon as a metric. This does not include savings on oil changes, brake changes, fluid replacements and other ICE maintenance cost savings. I also own a 4-wheel Drive Toyota. It gets about 15 mpg in the city, so I save a ton of money on gas in comparison.<br><br>If I drive this Model 3 for more than 20,000 miles, it will be paying me to own it as opposed to driving my Tacoma. This is an almost guaranteed financial return of 8%, and that ROI is hard to find right now unless you take significant risks.",NEGATIVE,0.9963231086730957
106,Him: &quot;Hey siri unlock tesla&quot;<br>Siri: &quot;No&quot;,NEGATIVE,0.9783778786659241
107,"“Sorry, I can’t seem to find Tesla, please try again later.”",NEGATIVE,0.9982615113258362
108,“Hey Siri unlock Tesla.”<br>“Ok playing ‘Unlock Tesla’ right now.”,POSITIVE,0.9990240335464478
109,Bro is holding bob a hostage 😭,NEGATIVE,0.9309883117675781
110,&quot;Hey siri unlock tesla&quot;<br>&quot;I&#39;m not sure I understand&quot;<br>💀,NEGATIVE,0.9961735606193542
111,&quot;Hey Siri Unlock my tesla&quot; <br>&quot;Im sorry i don&#39;t<br> think you have Tesla signed in&quot;<br>Him: Oh F--,NEGATIVE,0.9947752952575684
112,The kidnapped minion😂😂,NEGATIVE,0.948467493057251
113,“Hey siri unlock Tesla “<br><br>Siri: “ finding images of Nicholas Tesla,POSITIVE,0.995367169380188
114,"All jokes aside, that&#39;s a nice wrap on the car",POSITIVE,0.9996511936187744
115,Siri: Did you mean i’ll lock Tesla? Sure I locked your Tesla.”,NEGATIVE,0.9960822463035583
116,Hit 200k today. Thank you for all the knowledge and nuggets you had thrown my way over the last months. Started with 17k in last month 2024.,POSITIVE,0.9930847883224487
117,"Visa missed, and Visa never misses. If thats not an indicator I don&#39;t know what is.",NEGATIVE,0.9949833154678345
118,I hope so I have 35 contacts for tesla calls,NEGATIVE,0.9240662455558777
119,I’m waiting for that stock to pop up to 260 a share. Maybe in a month or so…,NEGATIVE,0.9988229870796204
120,"The EV sector charging Up towards 17 million sales in 2024, a new record. Tesla 11 % mth . Rivian 21 % mth..QS..43 % mth . FSRNQ.. Fisker 220 % week...Zapp 400 % mth..Joby 23 % mth..Chpt 45:% mth... Archer 33 % mth . Lillium 14 % mth... Lucid 29 % mth.. EVTL 36 % mth and more. Thumbs Up video/ comments.. Thanks",POSITIVE,0.9966036081314087
121,"Great job Mike. Keep up the good work. I might have to get me a bottle of that Tesla moonshine so we can toast to healthy and happy life. We knew this reset was coming, and my plan was to acquire more shares (catching falling knives) At the 220 mark and if it does go down to 185 due to the recession, high interest rates, etc. if it drops down to that level, my average price per share will be Under $200. Do you think it would be a smart idea to grab some shares at this price point Then wait to see if that 185 price point manifest itself then I pretty much go all in before the recovery or bounce hits us possibly August 4 or/and before 10/10? I know you’re not a financial advisor just looking To see how you might approach this next 6 to 12 weeks. HUGE Tesla BULL but I’m hoping the Price drops again so I can average down my PPS… this is strictly for educational purposes. Thank you for your time and all the work you put into your podcast. Thank you for doing what you do",NEGATIVE,0.9838999509811401
122,The Sun Moon and Stars are priced in.,POSITIVE,0.9130437970161438
123,"You work for 40yrs to have $1M in your<br>retirement, meanwhile some people are putting just $10K in a bitcoin from just a few months ago and now they are multimillionaires.,.,..,",NEGATIVE,0.9980213642120361
124,I want TSLA to drop to 180 so I can load up!!!! Whoop whoop,NEGATIVE,0.9788641333580017
125,"!!!I recently sold some of my long-term position and currently sitting on about 250k, do you think Nvidia is a good buy right now or I have I missed out on a crucial buy period, any good stock recommendation on great performing stocks will be appreciated",POSITIVE,0.948893666267395
126,"FSD edging hard bro. So close.<br>► AG1 <a href=""https://drinkag1.com/SMR"">https://drinkAG1.com/SMR</a> (FREE 1 Yr Supply of Vitamin D + 5 AG1 Travel Packs) <br>► Want More Content? Join Patreon: <a href=""https://www.patreon.com/solvingthemoneyproblem"">https://www.patreon.com/solvingthemoneyproblem</a><br>► Subscribe on X (Twitter): <a href=""https://twitter.com/stevenmarkryan"">https://twitter.com/stevenmarkryan</a> <br>► Oura Ring <a href=""https://ouraring.com/smr"">https://ouraring.com/smr</a> (Track your sleep, readiness &amp; activity) <br>► Browse MERCH: <a href=""https://solving-the-money-problem.creator-spring.com/"">https://solving-the-money-problem.creator-spring.com/</a> <br>► TSLA Fair Value aka “Price Targets” (2024-2033) <a href=""https://www.patreon.com/posts/tesla-stock-fair-96573364"">https://www.patreon.com/posts/tesla-stock-fair-96573364</a> <br>👕 Don’t bet against Elon MERCH <a href=""https://solving-the-money-problem.creator-spring.com/listing/new-don-t-bet-against-elon"">https://solving-the-money-problem.creator-spring.com/listing/new-don-t-bet-against-elon</a> <br>👕 TSLA HODLR MERCH: <a href=""https://solving-the-money-problem.creator-spring.com/listing/new-tsla-hodlr?product=46"">https://solving-the-money-problem.creator-spring.com/listing/new-tsla-hodlr?product=46</a> <br>👕 Traders FOLD. Investor HOLD. Merch: <a href=""https://solving-the-money-problem.creator-spring.com/listing/traders-fold-investors-hold"">https://solving-the-money-problem.creator-spring.com/listing/traders-fold-investors-hold</a><br>👕  420 Funding Secured MERCH: <a href=""https://solving-the-money-problem.creator-spring.com/listing/420-funding-secured-merch"">https://solving-the-money-problem.creator-spring.com/listing/420-funding-secured-merch</a> <br>👕 I’m ALL IN on TSLA MERCH <a href=""https://bit.ly/30nh2S7"">https://bit.ly/30nh2S7</a> <br>👕 Buy $TSLA MERCH <a href=""https://bit.ly/3Gh8wUw"">https://bit.ly/3Gh8wUw</a> <br>👕 TSLA to the mooooooon MERCH <a href=""https://bit.ly/3iagHHZ"">https://bit.ly/3iagHHZ</a> <br>👕 Cybertruck Light Strip MERCH <a href=""https://bit.ly/3FNLq7L"">https://bit.ly/3FNLq7L</a> <br>👕 Mars awaits MERCH <a href=""https://bit.ly/3yUnKdb"">https://bit.ly/3yUnKdb</a> <br>👕 Make Manufacturing Great Again <a href=""https://solving-the-money-problem.creator-spring.com/listing/make-manufacturing-great-again"">https://solving-the-money-problem.creator-spring.com/listing/make-manufacturing-great-again</a> <br>➡ SEND BITCOIN: bc1q386gs0uhzr5l5zatwz5u28t3f729zpsa9p8t0k <br>➡ SEND ETHEREUM: 0xb3F81537394344DF1d21a0e0CB6DFdF7bFBBA0A3 <br>➡ DONATE <a href=""https://paypal.me/stevenmarkryan"">https://paypal.me/stevenmarkryan</a><br>AFFILIATE DISCLOSURE: I earn a commission on every purchase made through my links.",NEGATIVE,0.9986901879310608
127,The most bullish thing about this is that increasing the parameter count means that they solidified their architecture. You don&#39;t increase parameters early on because you&#39;ll incur heavy training costs if you&#39;re wrong. You have to prove you have the right architecture to get the results you want before you increase the model size. This is the biggest indicator that FSD from an architectural standpoint is solved internally. All thats left is training.,NEGATIVE,0.9917638301849365
128,Been driving 12.5 around for the first time today in Canada. This is a different beast. It is confident and actually assertive. It knows what it&#39;s doing. I also set the speed to auto and it keeps pace with traffic,POSITIVE,0.9997937083244324
129,I have been using 12.3.6 for a few months now and got 12.5 this week. I use it every day for my 80 miles round trip. It genuinely feels amazing. There are a few rough edges still but the improvements are amazing. We are very close!,POSITIVE,0.9998655319213867
130,"first the dog, then the car, then the house, but eventually got my XAI600T",NEGATIVE,0.9844464659690857
131,"Tesla’s loves cats lol.  A model 3 was driving on 12.5 FSD.  A cat was walking in the road at night, car quickly stopped, cat didn’t move.  10s later another car started coming the other way, so it inched towards the cat until it ran away then it continued.  Did exactly what I do with my cat in the driveway when I get home from work",NEGATIVE,0.9866053462028503
132,"Just drove from Redding to San Luis Obispo.  6.5 hours, 429 miles and never touched the wheel!!!  <br><br>Most impressive is my wife drove a 1/3 of the distance and I was able to sleep in the pasgr seat knowing the safest driver anywhere in California was piloting the car!  Her fear of FSD was finally broken!",NEGATIVE,0.5218192338943481
133,When Tesla gets this FSD or chauffeur mode right that operating system will be worth more than the car company,NEGATIVE,0.8813073635101318
134,We need that in Europe asap,NEGATIVE,0.9127939343452454
135,Buy TSLA. Then buy more . Then back the truck up and buy a ton more . Buy any and all dips. Accumulate vigorously. Buy soon and buy often .,POSITIVE,0.9453081488609314
136,"The best solar company in Australia just installed my new solar system. Check them out here: <a href=""https://www.resinc.com.au/electricviking"">https://www.resinc.com.au/electricviking</a>",POSITIVE,0.9629920125007629
